"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU_2519","Bacteria","Acidobacteriota","Acidobacteria group 5","Unclassified_Acidobacteria group 5","Unclassified_Acidobacteria group 5","Unclassified_Acidobacteria group 5","Unclassified_Acidobacteria group 5"
"OTU_2520","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_2521","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter","Unclassified_Luteolibacter"
"OTU_2522","Bacteria","Planctomycetota","OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190"
"OTU_2523","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Unclassified_Hydrogenedentiales","Unclassified_Hydrogenedentiales","Unclassified_Hydrogenedentiales"
"OTU_2524","Bacteria","Chloroflexi","Dehalococcoidia","SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade"
"OTU_2525","Bacteria","Myxococcota","Polyangia","Blfdi19","Unclassified_Blfdi19","Unclassified_Blfdi19","Unclassified_Blfdi19"
"OTU_2526","Bacteria","Zixibacteria","Unclassified_Zixibacteria","Unclassified_Zixibacteria","Unclassified_Zixibacteria","Unclassified_Zixibacteria","Unclassified_Zixibacteria"
"OTU_2527","Bacteria","Chloroflexi","Dehalococcoidia","SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade"
"OTU_2528","Bacteria","Gracilibacteria phylum incertae sedis","Gracilibacteria","Candidatus Peribacteria","Unclassified_Candidatus Peribacteria","Unclassified_Candidatus Peribacteria","Unclassified_Candidatus Peribacteria"
"OTU_2529","Bacteria","Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)"
