Sample,Extraction,Sequencing,Type,Depth,16SBac,16SBac_SD,16SArc,16SArc_SD,Proka16S,PoolingChoice
GS19_GC10_117_E1_S1,E1,S1,Sample,117,851422.155835108,125643.257339875,302504.031500501,49050.5654252842,1153926.18733561,
GS19_GC10_118_E1_S1,E1,S1,Sample,118,549986.065089581,38989.5802359959,206525.646450564,3097.78221270217,756511.711540145,
GS19_GC10_119_E1_S1,E1,S1,Sample,119,166551.668589352,39138.8507289741,121172.184252557,5809.39227388105,287723.852841909,
GS19_GC10_120_E1_S1,E1,S1,Sample,120,144318.295195175,11276.5015148726,65473.2572390268,7434.26226899552,209791.552434202,
GS19_GC10_121_E1_S1,E1,S1,Sample,121,299893.084365422,23451.9478608804,137034.961562167,26225.9786317089,436928.045927589,
GS19_GC10_122_E1_S1,E1,S1,Sample,122,220637.735247336,30377.2663019097,85957.7948975175,2398.31223012124,306595.530144854,
GS19_GC10_123_E1_S1,E1,S1,Sample,123,115835.389223966,8137.76850700378,74457.3766534979,8781.50137988004,190292.765877464,
GS19_GC10_124_E1_S1,E1,S1,Sample,124,134163.593796064,9223.13366296156,55688.0159198113,10923.1660950859,189851.609715875,
GS19_GC10_125_E1_S1,E1,S1,Sample,125,146227.803498434,14076.6652114234,84599.2258533581,2168.50185161114,230827.029351792,
GS19_GC10_126_E1_S1,E1,S1,Sample,126,161503.549055619,18944.0402117642,88766.7309154163,25119.3935220892,250270.279971035,
GS19_GC10_127_E1_S1,E1,S1,Sample,127,95778.3438942649,527.477399869399,39461.4479758523,4958.514733748,135239.791870117,
GS19_GC10_128_E1_S1,E1,S1,Sample,128,70470.1098766956,15181.763617547,29062.4870048775,5020.54822313916,99532.5968815731,
GS19_GC10_129_E1_S1,E1,S1,Sample,129,178054.874126727,14423.8989169781,51554.5639624963,6097.97275983371,229609.438089223,
GS19_GC10_130_E1_S1,E1,S1,Sample,130,101030.864789792,10347.7377835879,39499.9864036471,1689.3401220151,140530.851193439,
GS19_GC10_131_E1_S1,E1,S1,Sample,131,68010.0608774708,9024.87196210764,33569.4922636239,4710.51434897101,101579.553141095,
GS19_GC10_132_E1_S1,E1,S1,Sample,132,59103.7052933888,4480.72443726242,26015.3493573589,5046.98958448184,85119.0546507477,
GS19_GC10_133_E1_S1,E1,S1,Sample,133,89189.5408401946,116.404855322695,24336.818306746,2322.71362921436,113526.359146941,pool
GS19_GC10_133_E2_S1,E2,S1,Sample,133,1472394.43727118,310361.164683577,22585.3365335504,599.85592026092,1494979.77380473,pool
GS19_GC10_134_E1_S1,E1,S1,Sample,134,32795.1569747032,1536.49361407171,15830.1364621736,4003.32053316281,48625.2934368768,
GS19_GC10_135_E1_S1,E1,S1,Sample,135,52373.1305332257,8452.15716417231,13858.8702816761,1496.39757443579,66232.0008149018,pool
GS19_GC10_135_E1_S2,E1,S2,Sample,135,52373.1305332257,8452.15716417231,13858.8702816761,1496.39757443579,66232.0008149018,pool
GS19_GC10_136_E1_S1,E1,S1,Sample,136,6645.73454264246,97.9241432468933,529.999783116591,51.0361423114061,7175.73432575905,
GS19_GC10_137_E1_S1,E1,S1,Sample,137,10010.6966316828,1414.67905146662,918.449324254561,137.680717913446,10929.1459559374,pool
GS19_GC10_137_E1_S2,E1,S2,Sample,137,10010.6966316828,1414.67905146662,918.449324254561,137.680717913446,10929.1459559374,pool
GS19_GC10_138_E1_S1,E1,S1,Sample,138,25649.1800633872,1896.60089771922,7142.48273430802,1655.30399578373,32791.6627976952,pool
