Age,OTU_3_Median,OTU_3_LowerQuantile,OTU_3_UpperQuantile,OTU_16_Median,OTU_16_LowerQuantile,OTU_16_UpperQuantile,hzo_Median,hzo_LowerQuantile,hzo_UpperQuantile
35786,2281.4556283863867,283.5834322858204,12556.22692261787,1.0,1.0,1.0,11350.07106189074,2602.1146254277355,60423.973022536855
35836,3841.399416311902,360.823678347151,14117.384928398309,1.0,1.0,1.0,17147.90797849729,2698.440323155867,63248.590497919926
35886,5564.739225714317,467.2174235796434,15609.855718156174,1.0,1.0,1.0,22935.1883041604,2948.712582655462,65543.7189631929
35936,6936.354920672893,556.018438863049,17800.17109240317,1.0,1.0,1.0,27912.94391204103,2989.05371504466,68991.2073848684
35986,8005.9032408472485,763.3441240366438,20076.835102198256,1.0,1.0,1.0,31754.75068479489,3358.0929942646662,70651.01289955477
36036,9122.84725637185,1129.103295118404,22445.753858460925,1.0,1.0,1.0,36057.8154012198,3947.089020023864,72787.20790573844
36086,10249.123323058397,1659.9854285459683,25626.450843879033,1.0,1.0,1.0,39803.90109454768,5317.280763079491,75651.83538646855
36136,11427.675039238764,2516.9891551299784,28052.089002128287,1.0,1.0,1.0,44264.89835643431,7975.073279196517,76948.28118997144
36186,12818.81311894332,3723.258763571538,30135.34929551652,1.0,1.0,1.0,47795.87906940079,10606.748828867852,79708.17326229054
36236,14127.605424426321,4975.126983917656,32432.56230544365,1.0,1.0,1.0,50776.2007284281,12291.950461680077,82718.12844982896
36286,15605.752782219115,5936.55882922841,34564.95661161266,1.0,1.0,1.0,52677.9186215348,13773.742658489102,85190.69424779442
36336,17070.747087742846,6814.865015844875,35814.2557019012,1.0,1.0,1.0,55309.43822128095,15976.704176309013,87843.9219374923
36386,19165.957672077337,7643.139073896536,37767.079123426345,1.0,1.0,1.0,57175.84941915593,16646.18334257178,91113.34089292218
36436,21009.72389996027,8335.70502307417,39429.29800103474,1.0,1.0,1.0,59197.85399821262,18881.913455059264,96599.38920089704
36486,22659.508697052763,8892.427006004156,40952.754231733794,1.0,1.0,1.0,62032.80718953493,21526.087809843277,106106.15594857051
36536,24662.765799853132,9523.739469460723,43449.750282147324,1.0,1.0,1.0,65398.18363751985,23488.14816613192,118432.48778341198
36586,26499.66029830933,10254.877780845214,46621.038643804655,1.0,1.0,1.0,67562.27526100466,24082.857687387415,126478.17244655702
36636,28532.760251533324,11130.559753509244,50757.25727310624,1.0,1.0,1.0,70154.57423654725,27448.189495287566,129943.5128743108
36686,29415.373219597343,11936.300404376518,54577.554964585564,1.0,1.0,57.78562032697893,72425.86077528415,32304.447945537173,132480.20481980988
36736,31038.215537172637,12617.511653932575,58139.94079067525,1.0,1.0,68.94575150346664,74726.1311246643,35866.90199782753,134430.377200334
36786,32524.31355953103,13428.883355775837,61680.776881393795,1.0,1.0,121.7530762771933,78300.4179622147,39451.41003939199,136129.09387786684
36836,34127.791285796986,14459.08061373705,65865.93805207552,1.0,1.0,190.06217313300795,80009.38715925593,41729.7166977984,136759.6678433748
36886,35514.332385446454,15214.178196104924,70193.7624589049,50.477619684529905,1.0,247.68787479417676,81824.50711976235,42639.8941461768,137765.6980096838
36936,36881.64754652678,15997.768967385533,74051.11951307175,47.27213197573086,1.0,386.1824434528726,84399.99201497971,44660.124671298334,139539.05795433762
36986,37549.61818080227,16311.227366268955,76992.34397922127,35.503591602421004,1.0,468.3267862001086,87119.55734243995,45541.86753137297,140339.00030060566
37036,39173.91196904968,17253.65298233616,81260.80922353965,42.306488200511865,1.0,573.6610264356851,88819.6319892499,46862.4073514197,141003.9301325512
37086,40614.327130267324,17862.277688446145,85291.07876147982,22.925117586657294,22.925117586657294,736.6506258246734,91762.11199071091,48630.78357162586,142175.3530000311
37136,42463.67600012678,18613.520408670676,89312.19591191557,19.485133499767258,19.485133499767258,956.4497366319854,92557.05191758256,49807.884040535326,142919.08530698068
